N-gram,BeforeRefactoring,AfterRefactoring
1-gram,5.5992227582,5.7338978372
2-gram,3.8193626823,3.8260601513
3-gram,3.4044869865,3.2338826762
4-gram,3.3424348989,3.1243663744
5-gram,3.3126387978,3.080131172
6-gram,3.3005119781,3.0659259636
7-gram,3.2929210179,3.0543284266
8-gram,3.2901574004,3.0498371739
9-gram,3.2894003752,3.0470450367
10-gram,3.2866143827,3.0430134704
