N-gram,BeforeRefactoring,AfterRefactoring
1-gram,5.1494105516,5.3987440958
2-gram,3.7696284046,3.8607554282
3-gram,3.4780253925,3.5403524607
4-gram,3.2371167791,3.5201782852
5-gram,3.2352128475,3.5142108186
6-gram,3.2343094923,3.5121158496
7-gram,3.2383167033,3.5172125581
8-gram,3.2406673208,3.5218226703
9-gram,3.2415053982,3.5222661032
10-gram,3.2422032579,3.5230689706
