N-gram,BeforeRefactoring,AfterRefactoring
1-gram,5.8917370524,5.9267862933
2-gram,3.9580929939,3.8158663797
3-gram,3.3497471602,3.0711428653
4-gram,3.2528573909,2.9465364753
5-gram,3.2320522757,2.9041268765
6-gram,3.2167743271,2.8826461112
7-gram,3.2126464768,2.8746412307
8-gram,3.204572713,2.8612746879
9-gram,3.2047876284,2.8603128587
10-gram,3.2038404632,2.8580278699
