,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.1631526537,4.1627627515,3.4158378699,3.3021638007,3.2344458269,3.2127582054,3.2002639421,3.187476618,3.1850585684,3.1814010361
Trail 2,6.1066532589,4.1600757269,3.4321706717,3.3229978553,3.2595277653,3.2400816955,3.2299470799,3.2179746651,3.2156446221,3.2123835012
Trail 3,6.0860998648,4.0851615615,3.3484279864,3.2445532631,3.1843518621,3.168562915,3.1592332767,3.1498640015,3.1480738002,3.145885
Trail 4,6.1075972308,4.1312660023,3.4335235334,3.3206098811,3.2555951787,3.2343525774,3.222872972,3.2122169746,3.2105261302,3.2087211246
Trail 5,6.0200166764,4.0679221887,3.4129511909,3.310375602,3.247416674,3.229901396,3.2188218181,3.2103050806,3.2090915596,3.2066170615
Average,6.0967039369,4.1214376462,3.4085822505,3.3001400804,3.2362674614,3.2171313579,3.2062278177,3.195567468,3.1936789361,3.1910015447
