N-gram,BeforeRefactoring, AfterRefactoring
1-gram,6.3196016306,6.286833114
2-gram,4.2906995451,4.2285295328
3-gram,3.5385069707,3.4783696785
4-gram,3.4306607027,3.3709213779
5-gram,3.3834188814,3.323370593
6-gram,3.3656450413,3.3031171614
7-gram,3.3594670906,3.2961994148
8-gram,3.3477674465,3.2830718619
9-gram,3.3456587324,3.2820645293
10-gram,3.3421841968,3.2777604649
