,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.1666024905,4.0822564692,3.2863200002,3.1667546367,3.0951384622,3.0748271341,3.0681885476,3.0596335291,3.0568667683,3.0542738734
Trail 2,6.1867108564,4.1660335031,3.4175007888,3.3079496404,3.2470214204,3.22591051,3.2155486933,3.2049795455,3.2836261919,3.2737698393
Trail 3,6.1363696091,4.0866303668,3.3326493357,3.217011535,3.1549605833,3.1332667472,3.1231469142,3.1124798236,3.1110843732,3.1086905164
Trail 4,6.2498407067,4.2478086622,3.4996517664,3.3820526065,3.3213464674,3.3056177867,3.2964084824,3.2871636801,3.2860264293,3.2837089612
Trail 5,6.1777034535,4.1532167254,3.3950639173,3.2906966276,3.23346432,3.21508404,3.2047081234,3.1955917249,3.1938934457,3.1914757602
Average,6.1834454232,4.1471891453,3.3862371617,3.2728930092,3.2103862507,3.1909412436,3.1816001522,3.1719696606,3.1862994417,3.1823837901
