N-gram,BeforeRefactoring,AfterRefactoring
1-gram,5.6106218679,5.5634836285
2-gram,3.8440427209,3.6213917329
3-gram,3.2450469537,3.0157692991
4-gram,3.1734935719,2.9587442975
5-gram,3.1545888436,2.9482545729
6-gram,3.1504780723,2.9608783206
7-gram,3.1490503735,2.9498792573
8-gram,3.2134487061,3.0019000153
9-gram,3.2059768393,3.0151716607
10-gram,3.2011882148,2.9860302634
