N-gram,BeforeRefactoring,AfterRefactoring
1-gram,5.7667428163,5.732288717
2-gram,3.5608747384,3.4236917648
3-gram,2.8568632804,2.6953424383
4-gram,2.7498760495,2.5867014665
5-gram,2.708764462,2.5503143407
6-gram,2.6975080421,2.5399768515
7-gram,2.6944635645,2.5386706597
8-gram,2.6917717116,2.5377076414
9-gram,2.6945657687,2.5403245638
10-gram,2.6919253542,2.5368025548
